INFO  - 2015-07-01 09:47:28.021; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-07-01 09:47:28.037; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/10843/Develop/github/projects-solr/email-solr-core/email/contexts at interval 0
INFO  - 2015-07-01 09:47:28.042; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/10843/Develop/github/projects-solr/email-solr-core/email/contexts/solr-jetty-context.xml
INFO  - 2015-07-01 09:47:28.819; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-07-01 09:47:28.861; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-07-01 09:47:28.871; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-07-01 09:47:28.871; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-07-01 09:47:28.871; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-07-01 09:47:28.990; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/solr.xml
INFO  - 2015-07-01 09:47:29.058; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr
INFO  - 2015-07-01 09:47:29.064; org.apache.solr.core.CoreContainer; New CoreContainer 637725821
INFO  - 2015-07-01 09:47:29.065; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-07-01 09:47:29.074; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-07-01 09:47:29.075; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-07-01 09:47:29.078; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-07-01 09:47:29.078; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-07-01 09:47:29.079; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-07-01 09:47:29.080; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-07-01 09:47:29.080; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-07-01 09:47:29.080; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-07-01 09:47:29.080; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-07-01 09:47:29.163; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2015-07-01 09:47:29.167; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-07-01 09:47:29.168; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-07-01 09:47:29.169; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-07-01 09:47:29.528; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr
